Dealer,State,SaleDate,Make,Model,Year,Mileage,SalePrice,CostPrice,Profit,PaymentType,CustomerType,DaysOnLot,CarType
Dallas Toyota,TX,2018-04-06,Toyota,Camry,2010,57870,17335,14065,3270,Cash,New,47,Sedan
Bay Area Toyota,CA,2022-11-13,Toyota,Corolla,2016,61252,17895,16232,1663,Loan,Returning,32,Sedan
Brooklyn Toyota,NY,2016-11-21,Toyota,Prius,2020,35981,29759,27650,2108,Cash,Returning,35,Hatchback
Toyota of Manhattan,NY,2018-01-25,Toyota,Tundra,2022,42220,31147,27264,3883,Loan,Returning,40,Truck
Toyota of Manhattan,NY,2015-08-01,Toyota,Tacoma,2012,44454,22272,21031,1241,Lease,Returning,18,Truck
Toyota of Houston,TX,2018-11-25,Toyota,Highlander,2024,21191,28245,25228,3016,Loan,Returning,42,SUV
Toyota of Los Angeles,CA,2021-10-13,Toyota,Camry,2018,64044,20163,17133,3029,Loan,Returning,48,Sedan
Toyota of Houston,TX,2021-12-19,Toyota,Camry,2020,71587,19995,17907,2088,Cash,New,52,Sedan
Bay Area Toyota,CA,2024-09-14,Toyota,Highlander,2021,62366,29279,24134,5145,Loan,New,41,SUV
San Diego Toyota,CA,2021-12-07,Toyota,Corolla,2010,91036,16075,13624,2450,Loan,New,44,Sedan
Dallas Toyota,TX,2024-11-12,Toyota,Prius,2013,68136,22480,19981,2499,Cash,New,12,Hatchback
Toyota of Los Angeles,CA,2023-01-27,Toyota,Rav4,2023,12158,24963,23414,1549,Loan,New,45,SUV
San Diego Toyota,CA,2021-12-02,Toyota,Highlander,2024,8451,31922,29393,2529,Loan,Returning,41,SUV
Austin Toyota,TX,2018-01-22,Toyota,Rav4,2015,44049,15066,12729,2336,Loan,New,44,SUV
Queens Toyota,NY,2017-03-02,Toyota,Highlander,2019,36323,24244,22983,1261,Lease,Returning,51,SUV
Toyota of Houston,TX,2019-03-28,Toyota,Camry,2013,74011,15525,14348,1176,Cash,New,20,Sedan
Bay Area Toyota,CA,2020-11-10,Toyota,Tacoma,2022,30922,25493,22082,3410,Loan,New,47,Truck
Dallas Toyota,TX,2020-12-03,Toyota,Camry,2016,67149,26380,21671,4709,Loan,New,25,Sedan
Bay Area Toyota,CA,2016-02-09,Toyota,Corolla,2015,83521,25134,23531,1603,Loan,New,24,Sedan
Toyota of Manhattan,NY,2024-05-08,Toyota,Prius,2013,85620,20525,18037,2488,Loan,Returning,50,Hatchback
Dallas Toyota,TX,2020-06-14,Toyota,Highlander,2018,36233,28251,25091,3159,Cash,Returning,42,SUV
San Diego Toyota,CA,2023-07-04,Toyota,Highlander,2022,63404,28264,23755,4508,Cash,New,31,SUV
Toyota of Los Angeles,CA,2020-12-09,Toyota,Highlander,2012,59217,11221,9404,1816,Loan,New,41,SUV
Austin Toyota,TX,2021-05-03,Toyota,Tundra,2018,68036,28617,23465,5152,Loan,New,35,Truck
Brooklyn Toyota,NY,2020-02-28,Toyota,Corolla,2015,78466,20071,16549,3522,Loan,New,69,Sedan
Austin Toyota,TX,2022-03-25,Toyota,Tacoma,2018,48714,26318,24294,2023,Lease,New,30,Truck
San Diego Toyota,CA,2023-09-09,Toyota,Tundra,2011,20070,23807,20717,3089,Loan,New,22,Truck
San Diego Toyota,CA,2020-09-10,Toyota,Tundra,2021,59190,16900,13740,3159,Cash,New,32,Truck
Bay Area Toyota,CA,2023-12-15,Toyota,Prius,2023,24760,34111,31833,2278,Cash,New,33,Hatchback
Toyota of Manhattan,NY,2023-04-11,Toyota,Rav4,2017,15938,26521,24794,1727,Lease,New,59,SUV
Toyota of Houston,TX,2015-10-05,Toyota,Corolla,2022,42405,29982,27412,2569,Cash,New,29,Sedan
San Diego Toyota,CA,2021-07-22,Toyota,Highlander,2018,55118,24364,20733,3630,Loan,New,58,SUV
Austin Toyota,TX,2024-12-12,Toyota,Camry,2012,47475,26338,24483,1855,Loan,New,48,Sedan
Toyota of Houston,TX,2020-05-28,Toyota,Prius,2014,59382,23434,20734,2699,Lease,New,34,Hatchback
Brooklyn Toyota,NY,2022-02-10,Toyota,Rav4,2020,48143,32145,26947,5198,Loan,New,36,SUV
Toyota of Manhattan,NY,2020-08-12,Toyota,Tacoma,2017,47124,26365,23544,2821,Loan,New,26,Truck
Dallas Toyota,TX,2015-01-09,Toyota,Camry,2014,79527,17216,15744,1472,Loan,New,46,Sedan
Dallas Toyota,TX,2022-09-03,Toyota,Prius,2014,73541,23382,22008,1373,Cash,Returning,18,Hatchback
Bay Area Toyota,CA,2016-08-15,Toyota,Rav4,2021,44454,28123,24665,3457,Cash,Returning,34,SUV
Bay Area Toyota,CA,2016-03-24,Toyota,Rav4,2021,33147,32534,27553,4981,Loan,New,18,SUV
Queens Toyota,NY,2016-08-03,Toyota,Rav4,2011,125668,14858,13031,1827,Cash,Returning,68,SUV
Queens Toyota,NY,2017-08-01,Toyota,Tundra,2024,33657,31049,26027,5022,Cash,Returning,61,Truck
Toyota of Houston,TX,2020-01-05,Toyota,Tacoma,2010,97431,5441,4495,945,Loan,Returning,48,Truck
Queens Toyota,NY,2021-03-15,Toyota,Rav4,2021,43786,31629,25825,5803,Cash,New,23,SUV
Bay Area Toyota,CA,2016-12-15,Toyota,Highlander,2023,27929,37055,34767,2287,Loan,New,37,SUV
Toyota of Los Angeles,CA,2017-03-07,Toyota,Prius,2020,69037,26483,22642,3841,Loan,Returning,31,Hatchback
Toyota of Los Angeles,CA,2016-11-08,Toyota,Prius,2020,57019,36443,29181,7262,Loan,New,43,Hatchback
Dallas Toyota,TX,2021-08-09,Toyota,Tacoma,2019,36832,33312,30773,2538,Cash,New,45,Truck
Dallas Toyota,TX,2018-11-16,Toyota,Highlander,2011,79846,16548,14989,1559,Loan,New,3,SUV
San Diego Toyota,CA,2015-11-17,Toyota,Tundra,2024,13798,36810,32141,4669,Loan,New,33,Truck
Toyota of Manhattan,NY,2017-09-03,Toyota,Highlander,2020,51197,29123,23601,5522,Loan,New,60,SUV
Bay Area Toyota,CA,2021-09-04,Toyota,Tundra,2019,97860,20396,17566,2830,Cash,Returning,8,Truck
Queens Toyota,NY,2021-07-15,Toyota,Tacoma,2018,42859,26015,24661,1354,Loan,New,19,Truck
Toyota of Manhattan,NY,2015-11-07,Toyota,Prius,2014,34050,23446,21944,1501,Loan,New,40,Hatchback
Bay Area Toyota,CA,2018-03-19,Toyota,Rav4,2015,74810,22948,20911,2037,Loan,New,39,SUV
Austin Toyota,TX,2015-06-15,Toyota,Camry,2024,30082,34698,30639,4059,Loan,New,62,Sedan
Bay Area Toyota,CA,2015-09-27,Toyota,Tundra,2016,13445,25075,21051,4024,Cash,New,45,Truck
Brooklyn Toyota,NY,2019-01-14,Toyota,Tundra,2017,74385,26634,22953,3680,Loan,New,55,Truck
Dallas Toyota,TX,2018-10-14,Toyota,Highlander,2022,25813,25928,24566,1362,Cash,New,29,SUV
Queens Toyota,NY,2019-09-01,Toyota,Prius,2015,61405,20936,18455,2481,Lease,New,45,Hatchback
Toyota of Manhattan,NY,2016-06-06,Toyota,Tundra,2020,86603,29488,24691,4796,Loan,New,58,Truck
Austin Toyota,TX,2020-10-27,Toyota,Corolla,2020,43221,15432,13240,2191,Loan,New,44,Sedan
Toyota of Houston,TX,2020-03-15,Toyota,Prius,2018,50988,30446,26633,3812,Loan,New,52,Hatchback
Dallas Toyota,TX,2022-04-18,Toyota,Rav4,2021,9429,32454,26834,5620,Loan,Returning,24,SUV
Queens Toyota,NY,2020-03-03,Toyota,Tacoma,2010,78673,17317,14690,2626,Loan,New,64,Truck
Bay Area Toyota,CA,2019-05-27,Toyota,Corolla,2017,23741,35584,29512,6071,Loan,New,39,Sedan
Bay Area Toyota,CA,2015-04-18,Toyota,Rav4,2010,74561,22033,19025,3008,Loan,Returning,29,SUV
Bay Area Toyota,CA,2015-02-23,Toyota,Highlander,2014,72547,19533,16095,3437,Cash,Returning,49,SUV
Queens Toyota,NY,2022-10-09,Toyota,Camry,2010,48195,19841,17255,2586,Cash,New,19,Sedan
Dallas Toyota,TX,2017-05-09,Toyota,Corolla,2021,36876,29694,26213,3481,Loan,Returning,58,Sedan
Brooklyn Toyota,NY,2019-07-09,Toyota,Highlander,2023,62355,26153,24695,1458,Cash,Returning,46,SUV
Toyota of Los Angeles,CA,2020-01-09,Toyota,Rav4,2023,21728,22201,20803,1397,Loan,Returning,76,SUV
Brooklyn Toyota,NY,2016-03-24,Toyota,Corolla,2022,35988,24565,21727,2837,Cash,Returning,37,Sedan
Dallas Toyota,TX,2022-04-26,Toyota,Corolla,2019,67391,28233,23476,4756,Lease,New,33,Sedan
Toyota of Los Angeles,CA,2015-12-27,Toyota,Prius,2015,26049,24378,22142,2235,Cash,New,67,Hatchback
Queens Toyota,NY,2023-06-16,Toyota,Highlander,2015,74350,25060,23720,1340,Loan,Returning,7,SUV
Austin Toyota,TX,2023-01-16,Toyota,Tacoma,2022,28898,31920,26436,5483,Loan,New,32,Truck
Toyota of Houston,TX,2021-01-21,Toyota,Corolla,2024,21914,33704,31313,2391,Lease,New,64,Sedan
Bay Area Toyota,CA,2024-05-17,Toyota,Camry,2015,63206,22783,21297,1486,Loan,Returning,22,Sedan
Queens Toyota,NY,2022-08-25,Toyota,Camry,2021,54400,25992,21056,4935,Loan,Returning,40,Sedan
Austin Toyota,TX,2016-12-28,Toyota,Prius,2023,29941,30064,26257,3807,Loan,Returning,70,Hatchback
Brooklyn Toyota,NY,2015-01-02,Toyota,Corolla,2022,42947,33838,30219,3619,Loan,New,26,Sedan
Toyota of Manhattan,NY,2015-04-27,Toyota,Tundra,2015,78851,16923,15064,1858,Loan,New,43,Truck
Toyota of Los Angeles,CA,2022-12-13,Toyota,Prius,2013,80016,20499,16815,3684,Loan,New,37,Hatchback
Queens Toyota,NY,2023-09-18,Toyota,Prius,2010,60658,12461,10376,2085,Loan,Returning,34,Hatchback
San Diego Toyota,CA,2019-07-06,Toyota,Prius,2012,93193,15973,13209,2764,Loan,New,31,Hatchback
Austin Toyota,TX,2020-08-02,Toyota,Tacoma,2022,39979,31228,29135,2092,Lease,Returning,42,Truck
Queens Toyota,NY,2022-05-22,Toyota,Corolla,2019,39113,25181,22706,2474,Cash,Returning,48,Sedan
Toyota of Houston,TX,2023-03-05,Toyota,Corolla,2024,40713,31525,29860,1664,Loan,Returning,40,Sedan
San Diego Toyota,CA,2022-08-05,Toyota,Rav4,2021,64845,29636,27971,1664,Loan,New,63,SUV
Brooklyn Toyota,NY,2017-02-25,Toyota,Prius,2011,73545,16073,13075,2997,Loan,New,28,Hatchback
Toyota of Manhattan,NY,2017-06-08,Toyota,Prius,2021,23271,28933,24706,4227,Loan,Returning,34,Hatchback
Toyota of Manhattan,NY,2020-06-17,Toyota,Prius,2014,90494,26042,22514,3527,Loan,New,49,Hatchback
Queens Toyota,NY,2019-04-07,Toyota,Prius,2016,69664,22852,19481,3371,Loan,New,43,Hatchback
Dallas Toyota,TX,2015-09-13,Toyota,Camry,2018,35433,23562,21671,1890,Loan,New,44,Sedan
Brooklyn Toyota,NY,2017-06-21,Toyota,Tundra,2012,103673,10979,8998,1980,Loan,New,33,Truck
Toyota of Manhattan,NY,2024-05-20,Toyota,Tundra,2020,40757,24048,21323,2725,Cash,New,37,Truck
Austin Toyota,TX,2021-10-27,Toyota,Corolla,2014,56365,24553,19643,4910,Cash,Returning,70,Sedan
Dallas Toyota,TX,2023-07-03,Toyota,Tundra,2016,33382,29010,24394,4615,Loan,Returning,32,Truck
Dallas Toyota,TX,2019-02-07,Toyota,Tundra,2021,44990,24981,23436,1545,Loan,New,58,Truck
Austin Toyota,TX,2019-08-08,Toyota,Prius,2012,87529,26157,22096,4060,Loan,Returning,48,Hatchback
Dallas Toyota,TX,2021-02-06,Toyota,Corolla,2015,93511,19363,15865,3497,Loan,New,43,Sedan
Toyota of Manhattan,NY,2019-11-13,Toyota,Tundra,2010,63664,15508,13170,2338,Loan,Returning,10,Truck
Bay Area Toyota,CA,2017-09-09,Toyota,Highlander,2013,87445,21381,17272,4108,Loan,New,33,SUV
Queens Toyota,NY,2021-04-07,Toyota,Tundra,2012,64498,25797,23328,2468,Loan,Returning,58,Truck
Toyota of Los Angeles,CA,2024-11-15,Toyota,Prius,2010,76716,14078,13339,738,Loan,New,50,Hatchback
Bay Area Toyota,CA,2017-03-24,Toyota,Tundra,2024,48023,30762,24962,5800,Loan,New,27,Truck
Queens Toyota,NY,2015-05-26,Toyota,Corolla,2019,58629,27198,25054,2144,Cash,Returning,45,Sedan
Queens Toyota,NY,2015-11-08,Toyota,Tacoma,2022,23200,33540,27615,5924,Loan,New,29,Truck
Dallas Toyota,TX,2020-06-18,Toyota,Tundra,2024,45760,35333,33127,2206,Loan,New,53,Truck
Queens Toyota,NY,2020-07-18,Toyota,Rav4,2020,34733,32867,27173,5694,Loan,New,41,SUV
Queens Toyota,NY,2023-08-16,Toyota,Prius,2019,53378,23022,21388,1633,Cash,New,22,Hatchback
Brooklyn Toyota,NY,2022-05-16,Toyota,Highlander,2014,72769,29613,24965,4648,Cash,New,16,SUV
Dallas Toyota,TX,2024-06-24,Toyota,Prius,2021,10724,26044,23225,2819,Lease,New,37,Hatchback
San Diego Toyota,CA,2023-04-24,Toyota,Corolla,2014,40836,22295,20241,2054,Cash,Returning,25,Sedan
Austin Toyota,TX,2019-01-28,Toyota,Tacoma,2021,39024,30428,26532,3895,Loan,New,36,Truck
San Diego Toyota,CA,2019-10-20,Toyota,Camry,2018,82240,30325,28007,2318,Cash,Returning,33,Sedan
Dallas Toyota,TX,2018-06-25,Toyota,Tacoma,2012,74856,17633,14633,2999,Lease,New,45,Truck
Dallas Toyota,TX,2021-01-23,Toyota,Camry,2016,53664,27359,21959,5399,Loan,New,1,Sedan
Brooklyn Toyota,NY,2020-12-07,Toyota,Tacoma,2011,59358,22254,17858,4395,Cash,New,35,Truck
Toyota of Los Angeles,CA,2016-07-13,Toyota,Tundra,2019,72905,20257,17051,3205,Cash,New,39,Truck
Brooklyn Toyota,NY,2017-04-14,Toyota,Tundra,2016,64113,23464,21858,1605,Loan,Returning,56,Truck
San Diego Toyota,CA,2023-05-27,Toyota,Prius,2013,96838,21273,17971,3302,Loan,New,51,Hatchback
Toyota of Los Angeles,CA,2016-05-13,Toyota,Camry,2023,43197,30414,26367,4046,Loan,New,12,Sedan
Queens Toyota,NY,2023-07-27,Toyota,Corolla,2020,62079,28723,27236,1486,Lease,New,41,Sedan
Toyota of Houston,TX,2019-08-23,Toyota,Tacoma,2021,81868,25759,24021,1738,Cash,New,60,Truck
Austin Toyota,TX,2016-09-03,Toyota,Corolla,2023,52353,33005,28699,4305,Loan,New,34,Sedan
Bay Area Toyota,CA,2019-07-19,Toyota,Camry,2013,104071,17073,15362,1710,Loan,New,18,Sedan
Bay Area Toyota,CA,2016-03-22,Toyota,Prius,2022,51036,23177,19774,3402,Loan,Returning,29,Hatchback
Brooklyn Toyota,NY,2021-12-02,Toyota,Tacoma,2011,81718,15597,12709,2887,Cash,New,44,Truck
Toyota of Houston,TX,2015-08-17,Toyota,Corolla,2011,62557,19438,15787,3650,Loan,New,24,Sedan
Toyota of Los Angeles,CA,2019-08-10,Toyota,Prius,2015,80858,20458,19191,1267,Loan,Returning,62,Hatchback
Toyota of Los Angeles,CA,2017-11-25,Toyota,Highlander,2022,32525,35365,30062,5303,Loan,New,16,SUV
Austin Toyota,TX,2021-10-17,Toyota,Tundra,2012,33165,23812,20733,3078,Cash,Returning,37,Truck
Queens Toyota,NY,2015-02-25,Toyota,Tacoma,2014,78064,20661,18847,1813,Loan,Returning,54,Truck
Toyota of Manhattan,NY,2022-12-24,Toyota,Tundra,2011,93277,12025,9861,2163,Loan,New,73,Truck
Toyota of Houston,TX,2017-05-19,Toyota,Highlander,2016,52812,24132,22635,1496,Cash,Returning,51,SUV
San Diego Toyota,CA,2022-08-21,Toyota,Corolla,2017,75665,21144,17896,3247,Loan,New,52,Sedan
Dallas Toyota,TX,2024-06-08,Toyota,Highlander,2013,51481,23801,20989,2812,Loan,Returning,54,SUV
Toyota of Houston,TX,2019-06-18,Toyota,Tundra,2024,45886,31025,26132,4893,Loan,Returning,47,Truck
Bay Area Toyota,CA,2022-06-16,Toyota,Highlander,2013,75079,23694,19233,4461,Loan,New,51,SUV
Toyota of Houston,TX,2018-07-22,Toyota,Prius,2016,53296,25826,21760,4065,Loan,New,50,Hatchback
Queens Toyota,NY,2018-02-13,Toyota,Highlander,2017,22473,24270,22159,2110,Cash,New,32,SUV
San Diego Toyota,CA,2018-08-20,Toyota,Prius,2021,6355,28624,26570,2054,Lease,Returning,59,Hatchback
Toyota of Houston,TX,2022-06-12,Toyota,Tundra,2018,52869,25331,22062,3269,Cash,New,24,Truck
Bay Area Toyota,CA,2022-06-01,Toyota,Camry,2016,80251,22304,17928,4376,Loan,New,29,Sedan
Bay Area Toyota,CA,2015-05-24,Toyota,Tundra,2020,22459,34259,29687,4571,Loan,New,20,Truck
Dallas Toyota,TX,2020-04-15,Toyota,Tacoma,2017,80788,18040,16757,1282,Lease,New,36,Truck
Dallas Toyota,TX,2019-08-23,Toyota,Highlander,2015,86374,20992,17027,3965,Loan,New,32,SUV
Dallas Toyota,TX,2020-03-18,Toyota,Highlander,2019,11264,26461,24215,2245,Loan,New,15,SUV
Toyota of Los Angeles,CA,2022-02-14,Toyota,Highlander,2015,73201,22401,20979,1421,Loan,New,23,SUV
Dallas Toyota,TX,2015-10-18,Toyota,Highlander,2010,106723,15321,12678,2642,Loan,Returning,27,SUV
Dallas Toyota,TX,2015-04-23,Toyota,Camry,2017,78358,23230,20137,3092,Lease,New,25,Sedan
Toyota of Houston,TX,2019-10-02,Toyota,Camry,2023,31026,34678,31548,3130,Loan,New,43,Sedan
Bay Area Toyota,CA,2015-12-17,Toyota,Corolla,2013,45246,16806,14556,2249,Loan,New,60,Sedan
Bay Area Toyota,CA,2018-11-23,Toyota,Camry,2016,56334,27335,25491,1843,Loan,Returning,42,Sedan
Brooklyn Toyota,NY,2015-11-18,Toyota,Camry,2024,72789,31753,28995,2757,Loan,New,49,Sedan
Austin Toyota,TX,2016-12-05,Toyota,Highlander,2018,52437,26637,23173,3464,Loan,New,44,SUV
Brooklyn Toyota,NY,2018-10-24,Toyota,Rav4,2021,56128,24474,19868,4605,Loan,New,28,SUV
Toyota of Manhattan,NY,2018-04-21,Toyota,Rav4,2022,33103,29192,25854,3338,Cash,New,22,SUV
Toyota of Los Angeles,CA,2019-07-08,Toyota,Tacoma,2014,37294,26464,24849,1615,Loan,Returning,2,Truck
Toyota of Los Angeles,CA,2022-03-24,Toyota,Tacoma,2022,42648,31373,29687,1686,Loan,Returning,25,Truck
Dallas Toyota,TX,2023-05-17,Toyota,Camry,2024,43000,31536,26078,5457,Cash,New,37,Sedan
Queens Toyota,NY,2024-03-14,Toyota,Tundra,2023,21397,29215,27312,1902,Loan,New,14,Truck
Toyota of Los Angeles,CA,2020-09-12,Toyota,Tundra,2018,58504,14613,11783,2830,Cash,Returning,35,Truck
Toyota of Manhattan,NY,2020-03-23,Toyota,Corolla,2018,33411,32393,30220,2172,Cash,New,35,Sedan
Bay Area Toyota,CA,2024-06-28,Toyota,Tundra,2014,75751,27712,23341,4371,Loan,New,34,Truck
Toyota of Los Angeles,CA,2016-08-01,Toyota,Tundra,2018,66143,17612,14548,3063,Cash,New,9,Truck
Queens Toyota,NY,2023-10-03,Toyota,Camry,2023,65903,33256,29770,3485,Loan,New,29,Sedan
Brooklyn Toyota,NY,2022-11-17,Toyota,Rav4,2014,63229,23521,21453,2068,Loan,New,60,SUV
Austin Toyota,TX,2016-01-01,Toyota,Highlander,2019,48190,30556,25942,4613,Loan,New,35,SUV
Toyota of Manhattan,NY,2023-05-06,Toyota,Highlander,2023,43126,29410,25205,4204,Loan,New,32,SUV
Toyota of Los Angeles,CA,2019-12-12,Toyota,Corolla,2023,68428,30583,28046,2537,Loan,New,52,Sedan
Toyota of Manhattan,NY,2015-12-05,Toyota,Rav4,2019,30475,33201,28055,5145,Cash,New,41,SUV
Austin Toyota,TX,2017-06-04,Toyota,Prius,2016,60762,24924,20313,4610,Cash,New,39,Hatchback
Toyota of Houston,TX,2021-02-11,Toyota,Corolla,2013,47770,31622,27949,3673,Cash,New,38,Sedan
Brooklyn Toyota,NY,2017-06-06,Toyota,Tacoma,2017,64955,29596,25367,4228,Cash,New,72,Truck
Toyota of Houston,TX,2015-06-24,Toyota,Highlander,2014,104624,18384,16273,2111,Loan,New,54,SUV
San Diego Toyota,CA,2019-09-09,Toyota,Prius,2017,37755,28330,24723,3607,Loan,New,37,Hatchback
Toyota of Manhattan,NY,2024-08-03,Toyota,Corolla,2023,28265,30201,26846,3355,Lease,New,30,Sedan
Dallas Toyota,TX,2017-02-18,Toyota,Corolla,2012,44463,14509,13223,1286,Cash,Returning,31,Sedan
Dallas Toyota,TX,2023-05-07,Toyota,Tundra,2012,66501,15546,14512,1033,Loan,New,37,Truck
Bay Area Toyota,CA,2021-02-26,Toyota,Camry,2014,87236,16123,14175,1948,Loan,New,25,Sedan
Dallas Toyota,TX,2021-03-03,Toyota,Corolla,2015,58753,23801,19583,4218,Loan,New,46,Sedan
Dallas Toyota,TX,2019-04-06,Toyota,Prius,2021,8454,37736,33142,4593,Loan,New,27,Hatchback
Austin Toyota,TX,2018-07-12,Toyota,Corolla,2012,59470,19999,17302,2696,Cash,New,19,Sedan
San Diego Toyota,CA,2018-08-25,Toyota,Camry,2019,28311,27744,23674,4069,Lease,New,49,Sedan
Toyota of Los Angeles,CA,2022-07-28,Toyota,Tundra,2014,67256,20903,17982,2921,Loan,Returning,29,Truck
Bay Area Toyota,CA,2015-03-09,Toyota,Tacoma,2019,63566,28751,26127,2624,Loan,New,26,Truck
San Diego Toyota,CA,2019-01-25,Toyota,Corolla,2018,31904,24994,22946,2047,Lease,Returning,28,Sedan
Dallas Toyota,TX,2024-02-03,Toyota,Rav4,2018,29372,30026,26459,3567,Loan,New,34,SUV
Bay Area Toyota,CA,2021-09-22,Toyota,Tacoma,2017,34368,25601,23061,2539,Lease,New,25,Truck
Queens Toyota,NY,2019-05-02,Toyota,Rav4,2022,60565,21332,20006,1325,Loan,New,55,SUV
San Diego Toyota,CA,2018-11-08,Toyota,Rav4,2023,24326,33611,31029,2582,Loan,New,49,SUV
Toyota of Manhattan,NY,2024-03-23,Toyota,Tundra,2015,50601,19392,16420,2971,Loan,New,30,Truck
San Diego Toyota,CA,2022-08-26,Toyota,Tacoma,2021,82103,30511,26758,3753,Loan,New,39,Truck
Queens Toyota,NY,2022-09-04,Toyota,Corolla,2020,32555,24235,21095,3140,Loan,New,32,Sedan
Brooklyn Toyota,NY,2020-05-12,Toyota,Prius,2015,40379,21108,18741,2367,Lease,New,31,Hatchback
Queens Toyota,NY,2021-02-01,Toyota,Rav4,2017,19146,26982,23952,3029,Loan,New,29,SUV
Queens Toyota,NY,2015-03-22,Toyota,Prius,2012,77658,22476,18755,3720,Loan,New,29,Hatchback
Bay Area Toyota,CA,2021-01-17,Toyota,Tundra,2018,53791,24398,19923,4475,Lease,Returning,45,Truck
Austin Toyota,TX,2021-07-18,Toyota,Tundra,2018,42136,27992,23543,4448,Loan,New,22,Truck
San Diego Toyota,CA,2019-12-23,Toyota,Corolla,2016,77596,29586,25635,3951,Lease,Returning,36,Sedan
Toyota of Manhattan,NY,2019-10-20,Toyota,Corolla,2017,88781,20196,19096,1100,Lease,New,25,Sedan
Brooklyn Toyota,NY,2018-12-22,Toyota,Tundra,2020,54317,28280,22815,5465,Cash,New,40,Truck
Dallas Toyota,TX,2024-05-06,Toyota,Prius,2014,12798,24611,20816,3795,Loan,Returning,40,Hatchback
Bay Area Toyota,CA,2022-01-04,Toyota,Prius,2018,76240,25077,22379,2698,Loan,New,50,Hatchback
San Diego Toyota,CA,2024-02-23,Toyota,Rav4,2015,42671,23128,19666,3462,Loan,New,47,SUV
Toyota of Manhattan,NY,2020-02-27,Toyota,Highlander,2023,59860,29979,25899,4079,Loan,New,71,SUV
Toyota of Manhattan,NY,2019-08-07,Toyota,Camry,2021,32892,25232,23675,1556,Loan,New,33,Sedan
Austin Toyota,TX,2017-01-11,Toyota,Prius,2022,90838,30323,26084,4239,Lease,Returning,50,Hatchback
Austin Toyota,TX,2020-03-18,Toyota,Rav4,2013,95869,16846,14338,2507,Lease,New,62,SUV
Queens Toyota,NY,2017-07-03,Toyota,Prius,2012,76054,18298,16840,1458,Loan,Returning,30,Hatchback
Dallas Toyota,TX,2018-12-16,Toyota,Tacoma,2014,93988,21212,18141,3071,Loan,New,47,Truck
Brooklyn Toyota,NY,2015-08-07,Toyota,Rav4,2023,28711,30374,27574,2800,Loan,New,29,SUV
Toyota of Manhattan,NY,2015-10-08,Toyota,Rav4,2016,68327,17820,15063,2757,Loan,New,52,SUV
Toyota of Manhattan,NY,2016-09-06,Toyota,Prius,2011,77621,20042,18514,1527,Lease,New,19,Hatchback
Queens Toyota,NY,2016-05-19,Toyota,Corolla,2015,74151,18522,17121,1401,Loan,New,99,Sedan
Bay Area Toyota,CA,2018-03-19,Toyota,Prius,2015,27019,21840,18628,3212,Lease,New,71,Hatchback
Queens Toyota,NY,2016-02-15,Toyota,Corolla,2016,106792,27929,22569,5360,Loan,Returning,59,Sedan
